Sample in Buffer,Sample in Window,TRIGGER,openmips0/id0/pc_plus_4[31:0],openmips0/id0/reg1_o[31:0],openmips0/pc_reg0/new_pc[31:0],openmips0/pc_reg0/branch_target_address_i[31:0],inst[31:0],inst_addr[31:0],ram_data_i[31:0],ram_addr[31:0],ram_sel[3:0],ram_data_o[31:0],mmu_memory_version1/directUart/ext_uart_rx[7:0],mmu_memory_version1/directUart/ext_uart_tx[7:0],openmips0/pc_reg0/branch_flag_i,u_ila_0_ext_uart_busy,u_ila_0_ext_uart_ready,pause_signal,ram_we
208,208,0,800020d4,801efff4,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff4,80,06,1,1,0,0,1
209,209,0,800020d4,01fffff4,00000000,800020bc,00000000,800020d4,01fffff4,807efffc,f,00000000,80,06,1,1,0,0,0
210,210,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
211,211,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
212,212,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
213,213,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff4,80,06,0,1,0,0,1
214,214,0,800020c8,01fffff4,00000000,00000000,afa90000,800020c8,01fffff4,807efffc,f,00000000,80,06,0,1,0,0,0
215,215,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
216,216,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
217,217,0,800020d4,801efff4,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff3,80,06,1,1,0,0,1
218,218,0,800020d4,01fffff3,00000000,800020bc,00000000,800020d4,01fffff3,807efffc,f,00000000,80,06,1,1,0,0,0
219,219,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
220,220,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
221,221,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
222,222,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff3,80,06,0,1,0,0,1
223,223,0,800020c8,01fffff3,00000000,00000000,afa90000,800020c8,01fffff3,807efffc,f,00000000,80,06,0,1,0,0,0
